test_case_id,fullname,shortname,end_date_enabled,end_date_offset_days,end_date_offset_years,numsections,expected_result
TC-002-001,fn001_nnnnnnnnnnnnnnnnnnnn,sn001_yyyyyyyy,yes,30,0,10,success
TC-002-002,,sn002_yyyyyyyy,yes,30,0,10,Missing full name
TC-002-003,f,sn003_yyyyyyyy,yes,30,0,10,success
TC-002-004,fn,sn004_yyyyyyyy,yes,30,0,10,success
TC-002-005,fn005_nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,sn005_yyyyyyyy,yes,30,0,10,success
TC-002-006,fn006_nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,sn006_yyyyyyyy,yes,30,0,10,success
TC-002-007,fn008_nnnnnnnnnnnnnnnnnnnn,,yes,30,0,10,Missing short name
TC-002-008,fn009_nnnnnnnnnnnnnnnnnnnn,s,yes,30,0,10,success
TC-002-009,fn010_nnnnnnnnnnnnnnnnnnnn,sn,yes,30,0,10,success
TC-002-010,fn011_nnnnnnnnnnnnnnnnnnnn,sn011_yyyyyyyyssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,yes,30,0,10,success
TC-002-011,fn012_nnnnnnnnnnnnnnnnnnnn,sn012_yyyyyyyyssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,yes,30,0,10,success
TC-002-012,fn014_nnnnnnnnnnnnnnnnnnnn,sn014_yyyyyyyy,yes,-1,0,10,The course end date must be after the start date
TC-002-013,fn015_nnnnnnnnnnnnnnnnnnnn,sn015_yyyyyyyy,yes,0,0,10,The course end date must be after the start date
TC-002-014,fn016_nnnnnnnnnnnnnnnnnnnn,sn016_yyyyyyyy,yes,1,0,10,success
TC-002-015,fn017_nnnnnnnnnnnnnnnnnnnn,sn017_yyyyyyyy,yes,0,10,10,success
TC-002-016,fn018_nnnnnnnnnnnnnnnnnnnn,sn018_yyyyyyyy,yes,0,11,10,success
TC-002-017,fn019_nnnnnnnnnnnnnnnnnnnn,sn019_yyyyyyyy,yes,0,12,10,success
TC-002-018,fn026_nnnnnnnnnnnnnnnnnnnn,sn018_yyyyyyyy,yes,30,0,10,Short name is already used
TC-002-019,fn027_nnnnnnnnnnnnnnnnnnnn,sn027_yyyyyyyy,no,0,0,10,success
TC-002-020,fn028_nnnnnnnnnnnnnnnnnnnn,sn028_yyyyyyyy,yes,30,0,10,success
TC-002-021,fn029_nnnnnnnnnnnnnnnnnnnn,sn029_yyyyyyyy,no,0,0,10,success
TC-002-022,fn030_nnnnnnnnnnnnnnnnnnnn,sn030_yyyyyyyy,yes,30,0,10,success
TC-002-023,fn031_nnnnnnnnnnnnnnnnnnnn,sn031_yyyyyyyy,yes,30,0,10,success
TC-002-024,fn032_nnnnnnnnnnnnnnnnnnnn,sn032_yyyyyyyy,yes,30,0,10,success
TC-002-025,fn033_nnnnnnnnnnnnnnnnnnnn,sn033_yyyyyyyy,no,0,0,10,success
TC-002-026,fn034_nnnnnnnnnnnnnnnnnnnn,sn001_yyyyyyyy,yes,30,0,10,Short name is already used
TC-002-027,fn035_nnnnnnnnnnnnnnnnnnnn,sn035_yyyyyyyy,yes,-1,0,10,The course end date must be after the start date
